,title,price_VND,location,area_m2,number_of_bedrooms
143,"Căn hộ xanh giữa Saigon, giá mềm ở ngay.",1500000000,Bình Tân,50.0,1
144,Officetel Central Premium 32m² Trung Tâm Q8,1450000000,8,32.0,1
145,Bán gấp căn hộ Vinhomes 2pn full nội thất view đep,2200000000,9,59.0,2
146,bán gấp căn hộ 1pn+ giá 1.7 tỷ,1700000000,9,47.0,1
147,Căn Hộ Góc Dreamhome Palace 78.91m² 3PN,2136000000,8,78.91,3
148,Căn Hộ Cao Cấp Vườn nhật Vinhomes Grand Park Q9,275000000,9,47.0,1
149,Bán căn hộ 3PN C.T Plaza Nguyên Hồng Gò Vấp 5ty4,5400000000,Gò Vấp,112.0,3
150,Căn Hộ đối diện SC Vivo Lavida Plus 97m² 3PN 2WC,3900000000,7,97.0,3
151,căn hộ 2PN dt 69m2  Vinhome Grand Park quận 9,2500000000,9,69.0,2
152,"CẦN BÁN CĂN 2PN TẠI Q7 BOULEVARD, TẶNG PHÍ BẢO TRÌ",2550000000,7,57.0,2
153,"Căn hộ Oficetel Lavida Plus Q7, đối diện SC Vivo",1400000000,7,27.0,1
154,Nhỉnh 1 tỷ có nhà 2pn nội thất cao cấp view sông,1850000000,7,72.0,2
155,"BÁN CH KV 9VIEW FULL NT VIEW ĐẸP, NH HT VAY.",1400000000,9,58.0,2
156,"Căn Hộ Mới Nhận P7, Q8, Tầng 17 View Sông 2PN 2WC",649000000,8,62.0,2
157,RAO GIÁ THẬT BÁN CĂN 75m2 GIÁ CỰC TỐT AKARI CITY,2580000000,Bình Tân,75.0,2
158,CẦN BÁN CĂN HỘ LAVITA CHARM 3PN 87M2 GIÁ 3.5 TỶ,3500000000,Thủ Đức,87.0,3
159,C. cư Sunrise City 106m² 2PN - Giá tốt mùa Covid,4500000000,7,106.0,2
160,"Bán Căn Hộ 2PN Saigonhomes , Q. Bình Tân, view HL2",1800000000,Bình Tân,65.0,2
161,Chính Chủ 68m² 2PN ĐẸP căn sát góc,2750000000,Bình Thạnh,68.0,2
162,CĂN 2 PHÒNG TRUNG TÂM THE SUN AVENUE 3.3TR Full nt,3300000000,2,56.0,1
163,Bán Rẻ Căn Hộ 2PN Vinhomes  TP Thủ Đức Giá 2t250,2250000000,9,70.0,2
164,"SaiGon South Residence 3pn thô bán 3,7ty btp",3700000000,Nhà Bè,95.0,3
165,"3PN BRILLIANT VIEW HỒ BƠI TRÀN, GIÁ MỀM 50TR/M2",7250000000,Tân Phú,141.0,3
166,Căn hộ Saigon Pavillon 2PN 78m2 - Full nôi thất,6500000000,2,78.0,2
167,Căn góc có balcon Chung cư Flora Fuji 68m² 2 PN,2450000000,9,68.0,2
168,"Căn hộ 2PN 2WC 97m2 Him Lam Chợ Lớn, Quận 6.",3650000000,6,97.0,2
169,"Bán Căn hộ The View Riviera Point 147m², 8.35 tỷ",8300000000,7,147.0,4
170,"Căn hộ 1PN 47m2 Mỹ Đức, Q. Bình Thạnh, HCM",2100000000,Bình Thạnh,47.0,1
171,CH Celadon City Khu Ruby 68.8m² 2PN 2WC Full NT,2630000000,Tân Phú,68.8,2
172,DUY NHẤT CĂN 65M2 TẠI 9VIEW NHÀ CÓ BAN CÔNG LANMAR,1950000000,9,65.0,2
173,"Nhà 2 mặt tiền 76,8 m2 Chung Cư Hùng Vương",7000000000,5,76.8,2
174,"Bán căn hộ Saigon Pavillon 1pn 55m2, full nội thất",5300000000,2,55.0,1
175,"BÁN CH KV 9VIEW FULL NT VIEW ĐẸP, NH HT VAY.",1400000000,9,58.0,2
176,"Căn Hộ Mới Nhận P7, Q8, Tầng 17 View Sông 2PN 2WC",649000000,8,62.0,2
177,RAO GIÁ THẬT BÁN CĂN 75m2 GIÁ CỰC TỐT AKARI CITY,2580000000,Bình Tân,75.0,2
178,CẦN BÁN CĂN HỘ LAVITA CHARM 3PN 87M2 GIÁ 3.5 TỶ,3500000000,Thủ Đức,87.0,3
179,C. cư Sunrise City 106m² 2PN - Giá tốt mùa Covid,4500000000,7,106.0,2
180,"Bán Căn Hộ 2PN Saigonhomes , Q. Bình Tân, view HL2",1800000000,Bình Tân,65.0,2
181,Chính Chủ 68m² 2PN ĐẸP căn sát góc,2750000000,Bình Thạnh,68.0,2
182,CĂN 2 PHÒNG TRUNG TÂM THE SUN AVENUE 3.3TR Full nt,3300000000,2,56.0,1
183,Bán Rẻ Căn Hộ 2PN Vinhomes  TP Thủ Đức Giá 2t250,2250000000,9,70.0,2
184,"SaiGon South Residence 3pn thô bán 3,7ty btp",3700000000,Nhà Bè,95.0,3
185,"3PN BRILLIANT VIEW HỒ BƠI TRÀN, GIÁ MỀM 50TR/M2",7250000000,Tân Phú,141.0,3
186,Căn hộ Saigon Pavillon 2PN 78m2 - Full nôi thất,6500000000,2,78.0,2
187,Căn góc có balcon Chung cư Flora Fuji 68m² 2 PN,2450000000,9,68.0,2
188,"Căn hộ 2PN 2WC 97m2 Him Lam Chợ Lớn, Quận 6.",3650000000,6,97.0,2
189,"Bán Căn hộ The View Riviera Point 147m², 8.35 tỷ",8300000000,7,147.0,4
190,"Căn hộ 1PN 47m2 Mỹ Đức, Q. Bình Thạnh, HCM",2100000000,Bình Thạnh,47.0,1
191,CH Celadon City Khu Ruby 68.8m² 2PN 2WC Full NT,2630000000,Tân Phú,68.8,2
192,DUY NHẤT CĂN 65M2 TẠI 9VIEW NHÀ CÓ BAN CÔNG LANMAR,1950000000,9,65.0,2
193,"Nhà 2 mặt tiền 76,8 m2 Chung Cư Hùng Vương",7000000000,5,76.8,2
194,"Bán căn hộ Saigon Pavillon 1pn 55m2, full nội thất",5300000000,2,55.0,1
195,CĂN HỘ 3PN & 2WC ĐẢO KIM CƯƠNG Q. 2 117M2,1050000000,2,117.0,3
196,Chung cư Quận 9 - Thành phố Thủ Đức Giá Tốt,1300000000,9,30.0,1
197,Bán căn Hộ Sen Hồng 1pn block B giá 1.1ty sổ sẵn,1100000000,Thủ Đức,39.0,1
198,Căn hộ tẩng 33 River Gate Q.4  74m2. 2PN 2WC B3302,4600000000,4,75.0,2
199,Giỏ hàng 50 căn CitiEsto -Q2 đang giao nhà giá tốt,1655000000,2,59.0,2
200,Bán Richmond 3pn căn góc view Q1 4.9 tỷ,4900000000,Bình Thạnh,86.0,3
201,Hỗ trợ cho THUÊ  và CHUYỂN NHƯỢNG căn hộ 24/7,35000000,9,40.0,1
202,Bán nhà hoặc cho thuê dài hạn 367C bình đông P15Q8,50000000000,8,54.0,4
203,"mua nhà Sài Gòn 600tr, căn 2pn 60m2",600000000,Bình Chánh,60.0,2
204,Nhà bán 4x10m giá 1ty100tr 1/đường vĩnh lộc,1100000000,Bình Chánh,40.0,2
205,Bán căn hộ cao cấp Vimhomes Landmark 167m2 4PN,16000000000,Bình Thạnh,167.0,4
206,Căn hộ cao cấp 2PN giáp Phú Mỹ Hưng giá rẻ,2000000000,Nhà Bè,60.0,2
207,Gấp! Bán căn 75m2 hướng Nam tầng đẹp NThat cơ bản,2650000000,Bình Tân,75.13,2
208,Chủ bán Hưng Ngân 2PN có sổ ban công view cvpm QT,1900000000,12,68.0,2
209,🍎Ai muốn VINHOMES giảm thì chờ đi nhé .,1900000000,9,46.0,1
210,Chung cư Ehomes Nam Sài Gòn 46m² 1 PN,1049000000,Bình Chánh,46.0,1
211,Bán căn hộ cao cấp River Gate căn góc 95m2 6.2 tỷ,6200000000,4,95.0,3
212,Cần bán căn hộ River Gate 2PN DT 57m2 view sông,3980000000,4,57.0,2
213,Bán căn hộ 2PN 2WC River Gate view sông tầng 20,4750000000,4,74.0,2
214,Cần bán gấp căn hộ River Gate 115m2 Full nội thất,6900000000,4,115.0,3
215,Bán căn hộ River Gate 3 Phòng ngủ 115m2 view sông,7200000000,4,115.0,3
216,Chung cư Chung cư 1050 Chu Văn An 2PN,2600000000,Bình Thạnh,61.5,2
217,Nhận nhà ngay Ascent Lakeside quận 7 1PN giá CĐT,2400000000,7,45.0,1
218,Bán căn hộ Đ. Võ Văn Kiệt. Q.8. 72m. Full nội thất,28000000,8,72.0,2
219,"Kẹt tiền cần bán căn hộ 2PN , chung cư MorningStar",3150000000,Bình Thạnh,88.0,2
220,Chung cư Thảo điền green Thành Phố Thủ Đức,4500000000,2,55.0,1
221,Chung cư Vinhomes Grand Park (Vincity Quận 9) 59m²,2050000000,9,59.0,2
222,"Bán 2 officetel Wilton, đang cho thuê 30 tr/tháng",2100000000,Bình Thạnh,36.5,2
223,"Cập nhậy giỏ hàng giá gốc CĐT căn hộ Ecogreen, q.7",3300000000,7,65.0,2
224,Căn hộ The CBD căn góc 3PN lô A Tặng NT hỗ trợ Va,3200000000,2,80.0,3
225,Bán căn hộ lữ gia 2 phòng ngủ quận 11,3200000000,11,75.0,2
226,"Bán gấp gấp căn Emerald, 63m2, Nội thất cơ bản",3050000000,Tân Phú,63.0,2
227,"Em chuyên bán TECCO, giỏ hàng đẹp, giá rẻ từ 1,5tỷ",1500000000,12,58.0,2
228,NHÀ NHỎ VÕ CÔNG TO BỰ- 3TỶ- CÓ NGAY NGÔI NHÀ XINH,3000000000,Gò Vấp,35.0,2
229,CĂN HỘ CHUNG CƯ citisoho,2200000000,2,61.0,2
230,"Kẹt tiền bán Akari 2PN, 1WC 56m2 full giá 2,17 tỷ",2170000000,Bình Tân,56.0,2
231,Chuyển nhượng Officetel Sunrise CityView 32m2 1PQ7,1650000000,7,32.0,1
232,Căn hộ chung cư Victoria,1200000000,6,60.0,2
233,Chung cư Saigon South Residences 76m² 2 PN,3600000000,Nhà Bè,76.0,2
234,Căn Hộ Richmond lock Glory 2PN,3500000000,Bình Thạnh,66.0,2
235,Bán gấp căn góc 70m2 VHGP giá rẻ nhận nhà ngay,2500000000,9,70.0,3
236,CĂN HỘ WEST GATE ĐỘC TÔN CAO CẤP KHU TÂY SÀI GÒN,2200000000,Bình Chánh,59.0,2
237,"Bán căn hộ chung cư Topaz Elite 3PN P4, Q8",3000000000,8,85.0,3
238,"Bán cc Hai Thành (Kế bên Aeonmall Tên Lửa) 1,65tỷ",1650000000,Bình Tân,52.0,2
